product_id,units_sold,sales_value
P001,45389,1112030500
P002,45342,32646240
P003,45684,57105000
P004,45575,1813885000
P005,45026,380469700
P006,46731,523387200
P007,46468,67378600
P008,45376,26318080
P009,44946,669695400
P010,46964,1639043600
P011,46612,1286491200
P012,45972,112631400
P013,44081,63917450
P014,45035,3760422500
P015,45222,5381418000
P016,46306,472321200
P017,45578,23700560
P018,45027,508805100
P019,45971,1829645800
P020,45340,52141000
P021,46364,2142016800
P022,45819,774341100
P023,44437,575459150
P024,44022,453426600
P025,45598,357944300
P026,44844,13901640
P027,45678,21925440
P028,46164,103869000
P029,47066,185910700
P030,45897,1005144300
